kmax,payoff_date,ensemble_return
8,2015-03-31,0.018132509477436543
8,2015-04-30,0.046574019640684125
8,2015-05-31,0.02132251268485561
8,2015-06-30,-0.022158809704706073
8,2015-07-31,0.013498954754322768
8,2015-08-31,0.02527173114940524
8,2015-09-30,0.12736004292964936
8,2015-10-31,0.08391244485974311
8,2015-11-30,0.02591879996471107
8,2015-12-31,0.008737919526174665
8,2016-01-31,0.11717856526374817
8,2016-02-29,0.02502812147140503
8,2016-03-31,0.01295459633693099
8,2016-04-30,-0.03711155084893107
8,2016-05-31,0.057405123487114906
8,2016-06-30,0.0780925303697586
8,2016-07-31,0.05221127700060606
8,2016-08-31,-0.014544933754950761
8,2016-09-30,-0.013482414791360498
8,2016-10-31,0.06430925615131855
8,2016-11-30,0.0560094989836216
8,2016-12-31,0.0029236586298793553
8,2017-01-31,0.04105042964220047
8,2017-02-28,-0.021365215070545673
8,2017-03-31,-0.018177299294620752
8,2017-04-30,0.04146374147385359
8,2017-05-31,0.02387414297554642
8,2017-06-30,-0.015828392840921877
8,2017-07-31,0.04509739950299263
8,2017-08-31,0.008034782391041518
8,2017-09-30,0.022298300825059413
8,2017-10-31,0.05544130187481642
8,2017-11-30,0.018478215765208007
8,2017-12-31,0.0003260485944338143
8,2018-01-31,0.039620765671134
8,2018-02-28,-0.007865594932809472
8,2018-03-31,0.00449325586669147
8,2018-04-30,-0.011987443477846683
8,2018-05-31,0.02116157948039472
8,2018-06-30,0.015551994647830724
8,2018-07-31,0.0472401712089777
8,2018-08-31,0.04207625929266214
8,2018-09-30,-0.010616119112819433
8,2018-10-31,0.03885739212855697
8,2018-11-30,-0.008654534444212913
8,2018-12-31,0.003855091333389282
8,2019-01-31,0.047299765050411224
8,2019-02-28,0.029047665651887655
8,2019-03-31,0.009409058513119817
8,2019-04-30,0.051854509860277176
8,2019-05-31,-0.042391855735331774
8,2019-06-30,0.0466306384652853
8,2019-07-31,0.03237933882046491
8,2019-08-31,-0.02683188272640109
8,2019-09-30,0.06943093761801719
8,2019-10-31,0.045837432704865934
8,2019-11-30,-0.032420658087357876
8,2019-12-31,0.0024104989133775234
8,2020-01-31,0.0015145205426961184
8,2020-02-29,-0.12102512940764427
8,2020-03-31,-0.16700794100761412
8,2020-04-30,0.21235359460115433
8,2020-05-31,0.020303845778107642
8,2020-06-30,0.07315433118492365
8,2020-07-31,0.09371486715972424
8,2020-08-31,0.07162601687014103
8,2020-09-30,-0.03627900630235672
8,2020-10-31,0.04906467273831368
8,2020-11-30,0.018164117820560932
8,2020-12-31,0.019998258724808694
8,2021-01-31,-0.0033668034709990026
8,2021-02-28,0.09451481625437737
8,2021-03-31,0.14230324253439902
8,2021-04-30,0.07128782719373702
8,2021-05-31,0.10561197623610497
8,2021-06-30,-0.036797982454299924
8,2021-07-31,0.1230465091764927
8,2021-08-31,0.010430017299950124
8,2021-09-30,0.010433222446590663
8,2021-10-31,0.06623531095683574
8,2021-11-30,0.06003788318485022
8,2021-12-31,0.08603319078683853
8,2022-01-31,0.09584202021360397
8,2022-02-28,0.026323559693992138
8,2022-03-31,-0.015461183222942054
8,2022-04-30,0.09053201004862785
8,2022-05-31,0.11353434696793556
8,2022-06-30,-0.048131009191274644
8,2022-07-31,0.05812034737318754
8,2022-08-31,-0.002117034187540412
8,2022-09-30,0.013333868142217398
8,2022-10-31,0.19102553725242616
8,2022-11-30,0.04541361909359694
8,2022-12-31,0.019397173635661603
8,2023-01-31,-0.07730265529826283
8,2023-02-28,0.04688110239803791
8,2023-03-31,-0.0028074729721993207
8,2023-04-30,-0.03205279209651053
8,2023-05-31,0.014602363994345068
8,2023-06-30,0.059981074370443824
8,2023-07-31,0.017898221500217915
8,2023-08-31,0.07620725277811288
8,2023-09-30,0.026305456226691604
8,2023-10-31,0.04180583003908396
8,2023-11-30,0.12453886941075325
8,2023-12-31,0.007284492067992687
8,2024-01-31,0.06429486945271493
8,2024-02-29,-0.017826840002089738
8,2024-03-31,0.06783495061099529
8,2024-04-30,-0.061841150745749474
8,2024-05-31,0.020716070476919413
8,2024-06-30,-0.006899500777944922
8,2024-07-31,0.09170440100133419
8,2024-08-31,0.045357505604624745
8,2024-09-30,-0.007039815385360271
8,2024-10-31,-0.015105303982272745
8,2024-11-30,0.06976411864161491
8,2024-12-31,-0.07030037771910429
16,2015-01-31,0.11235825158655643
16,2015-02-28,0.02567545622587204
16,2015-03-31,0.04265186684206128
16,2015-04-30,0.07665144018828869
16,2015-05-31,0.039773989096283914
16,2015-06-30,-0.03268067464232445
16,2015-07-31,0.03070129444822669
16,2015-08-31,0.05333377649076283
16,2015-09-30,0.2679056003689766
16,2015-10-31,0.16390160322189332
16,2015-11-30,0.049350378662347795
16,2015-12-31,0.019758026115596294
16,2016-01-31,0.24694237858057022
16,2016-02-29,0.04149651387706399
16,2016-03-31,0.02223494816571474
16,2016-04-30,-0.06848489865660667
16,2016-05-31,0.11533029302954674
16,2016-06-30,0.1483216479420662
16,2016-07-31,0.11256976425647736
16,2016-08-31,-0.02311137206852436
16,2016-09-30,-0.03073177682235837
16,2016-10-31,0.13898088932037353
16,2016-11-30,0.10387132838368415
16,2016-12-31,0.02316429102793336
16,2017-01-31,0.07635701298713685
16,2017-02-28,-0.04271565284579992
16,2017-03-31,-0.029684905800968407
16,2017-04-30,0.09008182883262635
16,2017-05-31,0.046458165533840655
16,2017-06-30,-0.026833359617739916
16,2017-07-31,0.08329321444034576
16,2017-08-31,0.021530406503006815
16,2017-09-30,0.038378393091261384
16,2017-10-31,0.10992893315851689
16,2017-11-30,0.03325322372838855
16,2017-12-31,-0.0030579489422962068
16,2018-01-31,0.0743556160479784
16,2018-02-28,-0.014558921800926328
16,2018-03-31,0.01585050728172064
16,2018-04-30,-0.021164350071921946
16,2018-05-31,0.05188780203461647
16,2018-06-30,0.03218257399275899
16,2018-07-31,0.10208553448319435
16,2018-08-31,0.08524006735533476
16,2018-09-30,-0.021886391378939152
16,2018-10-31,0.07871805056929589
16,2018-11-30,-0.02237587682902813
16,2018-12-31,-0.0014012893661856651
16,2019-01-31,0.07682230398058891
16,2019-02-28,0.06362207904458046
16,2019-03-31,0.009215737273916603
16,2019-04-30,0.09805876966565848
16,2019-05-31,-0.09442254379391671
16,2019-06-30,0.07347210189327598
16,2019-07-31,0.06460684286430478
16,2019-08-31,-0.04942834777757525
16,2019-09-30,0.1355494238436222
16,2019-10-31,0.08788043335080147
16,2019-11-30,-0.0645595857873559
16,2019-12-31,0.004634350072592497
16,2020-01-31,0.0025203782599419354
16,2020-02-29,-0.2294016294181347
16,2020-03-31,-0.3122509554028511
16,2020-04-30,0.3898285757750273
16,2020-05-31,0.05652537001296878
16,2020-06-30,0.157917632907629
16,2020-07-31,0.17489368915557862
16,2020-08-31,0.13172972276806832
16,2020-09-30,-0.06240706676617265
16,2020-10-31,0.09733924008905888
16,2020-11-30,0.03099687248468399
16,2020-12-31,0.04718117685988545
