kmax,seed,train_sharpe,val_sharpe,test_sharpe,allocation_rank,participation_ratio,first_direction_share,top2_share,test_missing_return_share
2,7,4.316762530020837,2.4756765948525743,1.5775388737834621,1.3611486196307463,1.2018068175004455,0.9074803586356927,0.9999999999999999,0.005525839302270028
2,8,4.17129959315598,2.565464461153734,1.4515046411392607,1.1200822786230646,1.049252246082911,0.9759515051836842,1.0,0.005525839302270028
2,9,3.694225549861068,2.7464315616576345,1.4739615320580357,1.1584339538803243,1.0694699131221719,0.9663918240855663,1.0,0.005525839302270028
4,0,4.45458626282725,2.6751289189168426,1.7849840369928738,1.1773434193274745,1.079030915555315,0.9619393602231977,0.9997562933866256,0.005525839302270028
4,1,2.8972044770237275,2.3444011215633687,1.4487814564938537,1.209681185573403,1.0921483009435358,0.9559824619898944,0.9974251936306107,0.005525839302270028
4,2,2.775088871158479,2.2674715402211665,1.3368007714792476,1.045051661259891,1.0149403410127003,0.9925852029140474,0.9999472112268851,0.005525839302270028
4,3,4.863352221202883,2.408119062381912,1.7387378984241086,1.2288107032226085,1.1059693283758705,0.9496189485980016,0.9986748998799636,0.005525839302270028
4,4,4.449770819730417,3.1485576446184758,2.0299148338237694,1.1643865135040858,1.0717073252150116,0.9653547970624375,0.9997147421849581,0.005525839302270028
4,5,4.043790821431739,2.9118310877360165,1.7653866959282567,1.0606066264404157,1.0213657815671005,0.9894291864427659,0.9999672037080206,0.005525839302270028
4,6,4.558540831363057,2.77567724533712,1.9303825708962312,1.286249477115497,1.145922824315846,0.9316906643196771,0.9995984341456019,0.005525839302270028
4,7,3.025874879934536,2.1948820370449185,1.598537364526681,1.3988220960993862,1.2304824876267992,0.895413624241409,0.9999304951128176,0.005525839302270028
4,8,4.645649858583851,2.3074775138894053,1.6136837329265459,1.4025806952201374,1.233029538731527,0.8943576435311907,0.999880039715673,0.005525839302270028
4,9,4.015676212633295,2.256139245563893,1.661704384600768,1.1693805610072074,1.0748458660237472,0.9638843876356231,0.9998402045519041,0.005525839302270028
8,0,3.6650595959659995,2.6041149750063703,1.5649151977683267,1.3716723775319812,1.1960761279328838,0.9102396795889248,0.9969743847109346,0.005525839302270028
8,1,3.235995510052434,2.33213342603064,1.575410435163191,1.6671654045683453,1.4880474704206743,0.793346756448533,0.9997988296230867,0.005525839302270028
8,2,4.127076891646392,2.7045703215878634,1.741077116329946,1.220452389219965,1.105210449735676,0.949894255107099,0.999953780139368,0.005525839302270028
8,3,4.71953344400436,2.5196062575462177,1.7274666612876513,1.2264878761205305,1.098072947106124,0.9533649245760871,0.9953236512355925,0.005525839302270028
8,4,4.611044650143227,3.245779597735682,2.0347167221046485,1.2870709056597416,1.1330088582805988,0.9377219510444095,0.9948107867779352,0.005525839302270028
8,5,4.193622690409411,2.4621094435809248,1.640352156850312,1.6552717219026005,1.4743945028849996,0.7985979197348595,0.9998089058366975,0.005525839302270028
8,6,4.333884025330705,2.4469625667161297,1.8966942608142325,1.2515677796767872,1.1241270210466194,0.941360151334754,0.9998429203129704,0.005525839302270028
8,7,3.7708356318983878,2.878765722936764,1.5993919716792946,1.1717644154449716,1.0746463716034211,0.9639978197765582,0.9993020757095508,0.005525839302270028
8,8,4.406473362658174,2.8052871968083437,1.7540156568072156,1.272297142886726,1.130485441480294,0.938648620457268,0.9979060057347066,0.005525839302270028
8,9,3.7097316017429858,2.232767130814654,1.7032073429396137,1.235446091123436,1.1135496008298564,0.9461255878523606,0.9997489495535508,0.005525839302270028
16,0,3.907371430584641,3.020624962053847,1.6673707574609642,1.133098968113431,1.0539219525221093,0.9737457705030541,0.9993541856314374,0.005525839302270028
16,1,4.117520577881544,2.2427503478733963,1.521568404023605,1.3019374203612428,1.1568697401250452,0.9268765144256934,0.9996873162258423,0.005525839302270028
16,2,4.404963564722199,2.7117826465987047,1.88142180309382,1.2735588843309846,1.1360682274762814,0.9360750025210903,0.9992564757661865,0.005525839302270028
16,3,4.593805328777141,2.7696425402480593,1.7242066598692636,1.2186176678471985,1.0923471597639605,0.955996270539094,0.9948149350068765,0.005525839302270028
16,4,4.1234012250879735,2.5409135913689394,1.9062956158287137,1.5703404241941346,1.3684551506879576,0.8401552017337535,0.9979099666729743,0.005525839302270028
16,5,3.994538687043554,2.5442635199233767,1.7949321805865335,1.7630774315897462,1.6076280014432747,0.747104604575662,0.9998280544991054,0.005525839302270028
16,6,4.231439952658015,2.664535152085008,2.0244287140165707,1.1765478520193162,1.06961907773916,0.9664871113025046,0.9945465794917225,0.005525839302270028
16,7,4.636476927120904,2.7981225806290304,1.5376437464776567,1.2997907402808515,1.1562788960355772,0.9271208358063566,0.999854578271737,0.005525839302270028
16,8,4.502157380662454,2.080402443959722,1.6341634480785787,1.5298898827274856,1.3102715634711501,0.8639609197379633,0.9933021197296129,0.005525839302270028
16,9,3.8904246869396846,2.9332859953337658,1.5481155969115976,1.0625877615029913,1.0190886079526305,0.9905658607896568,0.9970639076181274,0.005525839302270028
32,0,4.328525381426356,2.8762103687142013,1.737720157845088,1.2910940733149834,1.140279391404739,0.9343631715668275,0.9971109990488645,0.005525839302270028
32,1,3.7595542978820005,2.7101391641211414,1.7076701362735585,1.4544797124918047,1.2592466817569528,0.8839569024498886,0.9968159199234102,0.005525839302270028
32,2,4.349222338203429,2.6973719824828515,2.034960382882702,1.4309451144833174,1.2513396046426648,0.8868717364943036,0.9991277193228858,0.005525839302270028
32,3,4.352911334585112,2.3146296484127897,2.015081867419996,1.4870895120278185,1.286164978354376,0.8730161413272101,0.9968735077822297,0.005525839302270028
32,4,3.373405423456452,2.5158753666170277,1.6843657695871959,1.32056993823427,1.1592115629887336,0.9260861048930235,0.9968836282254329,0.005525839302270028
32,5,4.835381270082253,2.7835495842985387,1.9029203177010634,1.3355920908463128,1.1793638658931336,0.9171364129152565,0.9994487594729479,0.005525839302270028
32,6,3.70617261930265,2.374886911065882,1.7534415436815558,1.2774401261886998,1.1338784726217128,0.937149288926797,0.9977748602109466,0.005525839302270028
32,7,3.7915826994926234,2.339727357317416,1.4528507106840944,1.323692589657937,1.1708592474536406,0.9208105430973164,0.9994318975067003,0.005525839302270028
32,8,4.084885485549846,2.4451466438796716,1.8793382590744894,1.4980640675377785,1.297493459054489,0.8684421849764432,0.9969570794998843,0.005525839302270028
32,9,4.60744161937943,2.6872837441895627,1.707288074855163,1.171791190884747,1.0653147231509017,0.9685414994522366,0.9921818713349325,0.005525839302270028
