factor,state,correlation
16,xs_disp_lag1,0.2503093324003924
16,ew_vol12,0.19387614081809737
16,ew_lag1,0.16939391612962998
16,vw_lag1,0.06284784870084201
16,ew_mean12,0.05325829189762492
16,log_n,-0.021582890221939804
17,ew_mean12,0.22404136819248538
17,ew_lag1,-0.029732885729423907
17,vw_lag1,-0.0749084827127794
17,ew_vol12,-0.4542796442968538
17,xs_disp_lag1,-0.5365398290306383
17,log_n,-0.6422754195614682
18,vw_lag1,0.17497871706707843
18,ew_lag1,0.13649357736207482
18,ew_mean12,0.009624802979002034
18,ew_vol12,-0.20434695266984632
18,log_n,-0.20506143628312415
18,xs_disp_lag1,-0.31542610395925813
19,xs_disp_lag1,-0.014524095399954258
19,log_n,-0.08671603151096778
19,ew_vol12,-0.1412579084670392
19,ew_mean12,-0.2058715941081847
19,vw_lag1,-0.22713766033964852
19,ew_lag1,-0.24843517758829445
20,ew_lag1,0.24190521578993646
20,vw_lag1,0.22120613614516607
20,log_n,0.16898268291436358
20,xs_disp_lag1,-0.09021067621704584
20,ew_mean12,-0.2145963783875407
20,ew_vol12,-0.34168234187345964
21,log_n,0.05982870256438071
21,ew_lag1,-0.07559263068903548
21,ew_mean12,-0.08479643942386986
21,xs_disp_lag1,-0.11263998871432998
21,vw_lag1,-0.14052497921936752
21,ew_vol12,-0.17645848409068748
22,xs_disp_lag1,0.17384173103837444
22,ew_lag1,0.09186171939024035
22,ew_vol12,0.09140803928168466
22,log_n,0.08783078730445207
22,vw_lag1,0.07466854302249627
22,ew_mean12,-0.13111475084929453
23,vw_lag1,0.07872197323803169
23,ew_lag1,0.032256103216897355
23,ew_mean12,-0.1338997018303833
23,log_n,-0.34862468974438476
23,xs_disp_lag1,-0.4887958764114181
23,ew_vol12,-0.5281272041786144
24,ew_vol12,0.5077044994257026
24,xs_disp_lag1,0.4978907798464695
24,vw_lag1,0.27715921117741477
24,ew_lag1,0.26885749589822644
24,ew_mean12,0.1908561982608845
24,log_n,0.10558274112340536
25,ew_vol12,0.030361317031105433
25,log_n,-0.04168633234672118
25,ew_lag1,-0.058941458683964554
25,xs_disp_lag1,-0.11310253057803321
25,ew_mean12,-0.12274710057676484
25,vw_lag1,-0.17482188814167757
26,log_n,0.24444548323704418
26,ew_mean12,0.15244134449657756
26,ew_vol12,-0.036699158741033355
26,xs_disp_lag1,-0.13643339288014297
26,vw_lag1,-0.29465656194248463
26,ew_lag1,-0.39251586741454375
27,xs_disp_lag1,0.2785052233011287
27,vw_lag1,0.2201474233226195
27,ew_lag1,0.174329435573125
27,log_n,0.1658101458781079
27,ew_vol12,0.056292871273931566
27,ew_mean12,-0.17135891913061407
28,ew_mean12,0.32906210472965014
28,ew_lag1,0.08014081472082953
28,ew_vol12,0.034793744447110975
28,vw_lag1,-0.014802103316989031
28,xs_disp_lag1,-0.08552585093265974
28,log_n,-0.16293863893389915
29,ew_vol12,0.41630890497278866
29,log_n,0.2812172519094391
29,xs_disp_lag1,0.2688733033987732
29,ew_mean12,0.2008791669893052
29,vw_lag1,-0.0015488875674516296
29,ew_lag1,-0.06518714220478017
30,ew_mean12,0.24263973255666674
30,vw_lag1,0.07027423391775743
30,ew_lag1,0.02677435297639522
30,xs_disp_lag1,0.02562717981561963
30,ew_vol12,0.00011037657855509434
30,log_n,-0.26215690929160435
31,ew_vol12,0.3522177379147788
31,ew_mean12,0.33963508917227775
31,xs_disp_lag1,0.3055391120996082
31,log_n,0.12507890394602447
31,ew_lag1,0.01840715266245831
31,vw_lag1,-0.023837393243501093
32,ew_mean12,0.2812557175010211
32,vw_lag1,-0.016649481499575937
32,ew_lag1,-0.0234331447722286
32,ew_vol12,-0.04443983118141936
32,xs_disp_lag1,-0.08562905867408442
32,log_n,-0.3406359976746556
