factor,characteristic,importance,share
1,tax_gr1a,4.386275152365367,0.004087419752459084
1,gp_at,4.349099059899648,0.004052776623748455
1,iskew_capm_21d,4.240685164928436,0.0039517494240509194
1,eqnpo_12m,4.176890661319097,0.0038923015086572573
1,mispricing_perf,4.160059154033661,0.0038766168028528235
1,prc_highprc_252d,4.1352916558583575,0.0038535368186420438
1,log_me_rank,4.097030282020569,0.003817882353350129
1,sale_emp_gr1,3.921471188465754,0.0036542848402454633
1,beta_60m,3.8666939536730447,0.0036032398091657173
1,ivol_ff3_21d,3.849852035442988,0.0035875454017581672
1,sale_gr1,3.8275983929634094,0.0035668079936668987
1,rmax5_21d,3.654241899649302,0.0034052630083717993
1,be_gr1a,3.652800142765045,0.0034039194844563475
1,rskew_21d,3.6302953958511353,0.0033829480807334405
1,debt_me,3.556636800368627,0.0033143081555907514
1,sale_gr3,3.5212893386681876,0.0032813690653296776
1,lnoa_gr1a,3.279198189576467,0.0030557726058464195
1,ocf_at,3.091468850771586,0.0028808340575582755
