factor,characteristic,importance,share
1,debt_me,3.9067485796080694,0.00326673359158387
1,be_gr1a,3.7333452900250754,0.0031217377364810726
1,sale_gr3,3.6810350351863437,0.003077997100710971
1,rskew_21d,3.661012742254469,0.0030612549184158284
1,ocf_at,3.617977009879218,0.003025269425691147
1,lnoa_gr1a,3.5267215967178345,0.0029489637414338655
2,dolvol_126d,15.327594969007704,0.023931352274339898
2,dolvol_var_126d,11.384592003292507,0.0177750444398691
2,ncol_gr1a,11.171951611836752,0.01744304374922124
2,ppeinv_gr1a,9.850227276484171,0.015379402927367104
2,ret_12_7,9.43384583791097,0.014729296312001811
2,ret_9_1,9.02283959918552,0.014087582128806182
2,niq_at,8.884554862976074,0.013871674757618212
2,op_atl1,8.786305281851027,0.013718275262037592
2,ami_126d,8.483230339156258,0.013245076874826851
2,zero_trades_21d,8.366023805406359,0.013062079421299755
2,o_score,7.98570626311832,0.012468280257177177
2,turnover_var_126d,7.654582447475857,0.011951288472452559
2,iskew_capm_21d,7.35144317150116,0.011477989640104273
2,saleq_gr1,7.321360813246833,0.011431021311799483
2,ni_me,7.2644098732206555,0.011342102403720489
2,col_gr1a,7.005741198857625,0.010938236619099031
2,aliq_at,6.786152680714925,0.010595387646791313
2,oaccruals_ni,6.770961417092217,0.010571669152012292
2,ret_12_1,6.707073277897305,0.010471919023677284
2,rmax1_21d,6.699271572960748,0.01045973802923199
2,ebit_sale,6.6925225257873535,0.010449200575329456
2,qmj_safety,6.6364290316899615,0.010361620418738835
2,resff3_12_1,6.488521880573696,0.010130689333698133
2,market_equity,6.4409662750032215,0.010056439593159728
2,nfna_gr1a,6.338592012723287,0.009896600131104489
2,ivol_ff3_21d,6.302895241313511,0.009840865880989499
2,mispricing_mgmt,6.284298989507887,0.009811831094133337
2,ncoa_gr1a,6.154992010858324,0.00960994091737369
2,taccruals_ni,6.105800602171156,0.009533137157061392
2,ope_be,6.097555491659376,0.00952026386254929
2,dbnetis_at,6.058988677130805,0.009460048543286968
2,ret_1_0,6.028923326068455,0.009413106768730709
2,fcf_me,5.9799585872226295,0.009336656913635381
2,ebit_bev,5.966475791401333,0.009315605891795696
2,ivol_capm_252d,5.9138222270541725,0.00923339658241354
2,ebitda_mev,5.9099192884233265,0.009227302828013794
2,div12m_me,5.886400871806675,0.00919058294377065
2,lti_gr1a,5.84324926800198,0.00912320927986963
2,ocf_at_chg1,5.77579665184021,0.009017893845683305
2,ni_be,5.728166196081373,0.008943527239698683
2,eqnetis_at,5.721530305014716,0.008933166459218026
2,rmax5_rvol_21d,5.707211322254604,0.008910809878075628
2,eqnpo_12m,5.698144104745653,0.008896653007621162
2,bev_mev,5.682194100485908,0.008871749872361586
2,netis_at,5.649268918567234,0.008820342973315406
2,bidaskhl_21d,5.588453875647651,0.008725390946031907
2,dgp_dsale,5.5701265997356835,0.008696776117876207
2,iskew_ff3_21d,5.44566826025645,0.008502456241106281
2,noa_gr1a,5.360792888535394,0.008369938228712348
2,ivol_hxz4_21d,5.313406825065613,0.008295953198439659
2,ret_6_1,5.311177637841967,0.008292472713416248
2,sti_gr1a,5.305051803588867,0.008282908297225609
2,at_be,5.250927395290798,0.008198402522885909
2,niq_at_chg1,5.2399909893671675,0.008181327242432401
2,capx_gr1,5.1967992252773705,0.008113890875287189
2,eqnpo_me,5.184169146749708,0.008094171222001123
2,chcsho_12m,5.144879513316685,0.008032827347745798
2,coskew_21d,5.1157931089401245,0.00798741402680818
2,qmj_prof,4.924921088748508,0.007689400831407558
2,be_me,4.901884741253323,0.007653433613580097
2,emp_gr1,4.818116346995036,0.007522643952416403
2,netdebt_me,4.811821765369839,0.007512816066789417
2,resff3_6_1,4.785373171170552,0.007471521223976568
2,inv_gr1,4.719192081027561,0.007368191054741655
2,aliq_mat,4.690101186434428,0.007322770723118094
2,op_at,4.655010951889886,0.0072679834739787065
